index,region,ranks
153,1,1.5
164,1,4
171,1,11
173,1,14
176,1,17.5
178,1,20
180,1,23.5
181,1,25.5
181,1,25.5
182,1,28
183,1,30.5
185,1,33.5
189,1,38
192,1,40.5
194,1,42.5
196,1,45
200,1,47.5
157,2,3
165,2,5.5
167,2,7.5
170,2,9
171,2,11
172,2,13
175,2,15.5
177,2,19
179,2,21.5
180,2,23.5
182,2,28
187,2,35.5
189,2,38
194,2,42.5
196,2,45
153,3,1.5
165,3,5.5
167,3,7.5
171,3,11
175,3,15.5
176,3,17.5
179,3,21.5
182,3,28
183,3,30.5
184,3,32
185,3,33.5
187,3,35.5
189,3,38
192,3,40.5
196,3,45
200,3,47.5
